,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karratha,-20.74,116.85,301.02,18,0,8.91,AU,1598060623
1,Punta Arenas,-53.15,-70.92,278.71,80,100,10.3,CL,1598060467
2,Marsabit,2.33,37.99,288.14,97,100,9.37,KE,1598060625
3,Ushuaia,-54.8,-68.3,278.15,80,75,2.1,AR,1598060622
4,Cape Town,-33.93,18.42,280.37,93,0,2.1,ZA,1598060060
5,Ponta do Sol,32.67,-17.1,296.15,83,75,4.1,PT,1598060399
6,Saskylakh,71.92,114.08,281.06,61,13,2.79,RU,1598060627
7,Pevek,69.7,170.31,278.07,86,100,3.34,RU,1598060627
8,Manche,49.0,-1.17,291.48,82,50,5.1,FR,1598060628
9,Rikitea,-23.12,-134.97,291.85,72,92,9.77,PF,1598060628
10,Río Gallegos,-51.62,-69.22,280.15,65,40,1.5,AR,1598060629
11,Kozachi Laheri,46.7,32.98,293.15,82,53,3.66,UA,1598060630
12,Ancud,-41.87,-73.82,280.37,100,90,1.5,CL,1598060630
13,Lubango,-14.92,13.49,286.72,23,62,2.23,AO,1598060469
14,Mayya,61.73,130.28,289.15,41,0,2.0,RU,1598060631
15,Bayanday,53.07,105.51,290.46,66,58,0.82,RU,1598060632
16,Novy Urengoy,66.08,76.63,284.8,80,13,4.8,RU,1598060632
17,Yellowknife,62.46,-114.35,287.15,54,75,6.2,CA,1598060365
18,Port Macquarie,-31.43,152.92,290.37,58,81,1.34,AU,1598060577
19,Tiksi,71.69,128.87,277.74,90,100,4.42,RU,1598060635
20,Srednekolymsk,67.45,153.68,278.97,65,100,6.88,RU,1598060635
21,Severo-Kuril'sk,50.68,156.12,285.14,82,51,7.26,RU,1598060636
22,Chokurdakh,70.63,147.92,277.09,74,100,3.47,RU,1598060435
23,Saint-Pierre,-21.34,55.48,290.15,59,0,4.1,RE,1598060637
24,New Norfolk,-42.78,147.06,281.48,83,30,0.45,AU,1598060637
25,Tuktoyaktuk,69.45,-133.04,287.15,76,20,6.2,CA,1598060638
26,Salalah,17.02,54.09,299.15,94,75,2.1,OM,1598060404
27,Ząbkowice Śląskie,50.59,16.81,294.82,87,0,3.15,PL,1598060639
28,Lagoa,39.05,-27.98,293.84,65,0,1.63,PT,1598060443
29,Maramag,7.82,124.95,298.27,81,97,0.75,PH,1598060640
